,Seller ID,Seller's Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction
313,314,Book,2018-05-09,2018-07-16,2018-07-04,2018-07-20,2018-08-02
314,315,BBFF,2018-05-09,2018-05-15,2018-05-24,2018-07-20,2018-09-08
315,316,Electronic,2018-06-06,2018-07-10,2018-08-14,2018-08-17,2018-08-17
316,317,BBFF,2018-06-12,2018-07-13,2018-08-22,2018-08-23,2018-10-09
317,318,BBFF,2018-04-09,2018-04-19,2018-05-18,2018-06-19,2018-07-10
318,319,BBFF,2018-04-10,2018-05-10,2018-06-15,2018-06-20,2018-06-23
319,320,LifeStyle,2018-04-17,2018-04-26,2018-05-14,2018-06-27,2018-07-08
320,321,BBFF,2018-05-02,2018-05-09,2018-07-09,2018-07-12,2018-07-12
321,322,BBFF,2018-05-16,2018-07-12,2018-07-19,2018-07-26,2018-07-28
322,323,BBFF,2018-05-17,2018-05-28,2018-05-22,2018-07-27,2018-07-27
323,324,BBFF,2018-06-01,2018-06-06,2018-08-09,2018-08-11,2018-08-27
324,325,LifeStyle,2018-06-07,2018-06-11,2018-08-16,2018-08-17,2018-09-05
325,326,LifeStyle,2018-06-21,2018-06-30,2018-08-30,2018-08-31,2018-09-05
326,327,LifeStyle,2018-07-12,2018-09-11,2018-09-21,2018-09-21,2018-09-22
327,328,BBFF,2018-07-25,2018-07-26,2018-10-04,2018-10-04,2018-10-09
328,329,BBFF,2018-02-02,2018-03-13,2018-04-12,2018-04-13,2018-05-10
329,330,BBFF,2018-03-19,2018-04-18,2018-05-07,2018-05-28,2018-05-30
330,331,BBFF,2018-03-19,2018-03-30,2018-05-17,2018-05-28,2018-05-29
331,332,LifeStyle,2018-04-27,2018-06-13,2018-07-05,2018-07-06,2018-07-08
332,333,LifeStyle,2018-05-02,2018-06-06,2018-07-11,2018-07-11,2018-07-12
333,334,BBFF,2018-05-16,2018-05-22,2018-06-29,2018-07-25,2018-07-24
334,335,BBFF,2018-05-18,2018-05-24,2018-07-24,2018-07-27,2018-07-28
335,336,Electronic,2018-05-20,2018-06-25,2018-07-27,2018-07-29,2018-08-04
336,337,BBFF,2018-05-21,2018-06-22,2018-07-23,2018-07-30,2018-08-18
337,338,Digital Service,2018-05-28,2018-07-23,2018-08-02,2018-08-06,2018-08-13
338,339,BBFF,2018-06-09,2018-07-30,2018-08-17,2018-08-18,2018-08-27
339,340,BBFF,2018-06-28,2018-06-30,2018-09-06,2018-09-06,2018-09-10
340,341,LifeStyle,2018-07-13,2018-10-04,2018-09-20,2018-09-21,2018-10-05
341,342,BBFF,2018-02-01,2018-02-28,2018-04-06,2018-04-11,2018-07-11
342,343,Book,2018-03-22,2018-03-30,2018-06-01,2018-05-30,2018-06-01
343,344,LifeStyle,2018-03-22,2018-03-30,2018-05-28,2018-05-30,2018-06-09
344,345,Electronic,2018-03-31,2018-05-24,2018-04-09,2018-06-08,2018-06-23
345,346,BBFF,2018-04-17,2018-05-03,2018-06-23,2018-06-25,2018-07-07
346,347,BBFF,2018-05-09,2018-05-15,2018-05-15,2018-07-17,2018-07-22
347,348,Electronic,2018-05-14,2018-06-15,2018-07-12,2018-07-22,2018-07-23
348,349,LifeStyle,2018-05-14,2018-05-25,2018-07-18,2018-07-22,2018-07-29
349,350,LifeStyle,2018-05-18,2018-07-25,2018-07-25,2018-07-26,2018-09-11
350,351,BBFF,2018-05-18,2018-06-30,2018-07-11,2018-07-26,2018-07-30
351,352,LifeStyle,2018-05-25,2018-07-24,2018-08-01,2018-08-02,2018-08-02
352,353,LifeStyle,2018-06-12,2018-06-27,2018-08-15,2018-08-20,2018-09-11
353,354,LifeStyle,2018-06-12,2018-06-15,2018-06-13,2018-08-20,2018-08-21
354,355,BBFF,2018-06-22,2018-06-30,2018-07-25,2018-08-30,2018-09-04
355,356,BBFF,2018-06-29,2018-08-16,2018-08-31,2018-09-06,2018-09-17
356,357,Book,2018-07-13,2018-09-17,2018-08-07,2018-09-20,2018-09-20
357,358,LifeStyle,2018-08-02,2018-08-07,2018-10-08,2018-10-10,2018-10-17
358,359,BBFF,2018-03-23,2018-04-13,2018-05-23,2018-05-30,2018-05-30
359,360,LifeStyle,2018-03-23,2018-03-29,2018-03-28,2018-05-30,2018-06-02
360,361,BBFF,2018-04-05,2018-04-13,2018-06-11,2018-06-12,2018-06-12
361,362,BBFF,2018-04-06,2018-04-20,2018-04-24,2018-06-13,2018-06-21
362,363,BBFF,2018-05-23,2018-06-12,2018-05-28,2018-07-30,2018-09-13
363,364,Book,2018-05-24,2018-07-20,2018-07-20,2018-07-31,2018-07-30
364,365,BBFF,2018-05-25,2018-07-20,2018-07-25,2018-08-01,2018-08-21
365,366,LifeStyle,2018-06-30,2018-07-16,2018-09-05,2018-09-06,2018-09-06
366,367,BBFF,2018-01-30,2018-02-08,2018-03-12,2018-04-07,2018-04-10
367,368,BBFF,2018-03-23,2018-03-30,2018-05-21,2018-05-29,2018-05-30
368,369,BBFF,2018-03-24,2018-04-13,2018-05-02,2018-05-30,2018-08-19
369,370,BBFF,2018-03-24,2018-03-28,2018-04-24,2018-05-30,2018-07-02
370,371,BBFF,2018-03-30,2018-04-11,2018-04-10,2018-06-05,2018-06-15
371,372,Electronic,2018-04-06,2018-04-11,2018-06-11,2018-06-12,2018-06-30
372,373,BBFF,2018-05-01,2018-05-14,2018-05-29,2018-07-07,2018-07-02
373,374,BBFF,2018-04-23,2018-04-24,2018-06-25,2018-06-28,2018-06-30
374,375,BBFF,2018-05-17,2018-05-23,2018-07-18,2018-07-22,2018-07-19
375,376,BBFF,2018-05-18,2018-05-21,2018-07-20,2018-07-23,2018-08-05
376,377,BBFF,2018-06-11,2018-07-13,2018-07-26,2018-08-16,2018-08-18
377,378,BBFF,2018-07-17,2018-07-24,2018-09-20,2018-09-21,2018-10-02
378,379,BBFF,2018-07-25,2018-07-31,2018-09-24,2018-09-29,2018-10-01
379,380,Digital Service,2018-01-25,2018-03-30,2018-03-28,2018-03-31,2018-03-31
380,381,Electronic,2018-03-21,2018-04-16,2018-05-24,2018-05-25,2018-07-15
381,382,BBFF,2018-04-10,2018-04-23,2018-04-23,2018-06-14,2018-06-14
382,383,Electronic,2018-04-13,2018-06-21,2018-06-13,2018-06-17,2018-06-23
383,384,BBFF,2018-04-13,2018-04-20,2018-06-13,2018-06-17,2018-06-15
384,385,BBFF,2018-05-29,2018-06-26,2018-07-05,2018-08-02,2018-09-08
385,386,Electronic,2018-06-05,2018-06-26,2018-07-12,2018-08-09,2018-08-14
386,387,LifeStyle,2018-06-11,2018-07-30,2018-08-07,2018-08-15,2018-08-24
387,388,Book,2018-06-23,2018-07-26,2018-08-23,2018-08-27,2018-08-29
388,389,BBFF,2018-02-02,2018-03-26,2018-02-13,2018-04-07,2018-04-19
389,390,LifeStyle,2018-03-01,2018-03-22,2018-03-20,2018-05-04,2018-05-09
390,391,Book,2018-04-11,2018-04-27,2018-05-22,2018-06-14,2018-06-13
391,392,LifeStyle,2018-04-14,2018-04-23,2018-06-13,2018-06-17,2018-06-21
392,393,BBFF,2018-04-17,2018-04-20,2018-05-25,2018-06-20,2018-07-04
393,394,BBFF,2018-04-21,2018-06-15,2018-06-19,2018-06-24,2018-07-01
394,395,BBFF,2018-05-02,2018-06-26,2018-06-26,2018-07-05,2018-07-19
395,396,LifeStyle,2018-05-19,2018-07-12,2018-07-17,2018-07-22,2018-07-31
396,397,BBFF,2018-06-11,2018-07-30,2018-08-07,2018-08-14,2018-09-30
397,398,BBFF,2018-08-05,2018-08-07,2018-10-08,2018-10-08,2018-10-11
398,399,BBFF,2018-08-07,2018-10-03,2018-08-28,2018-10-10,2018-10-18
399,400,BBFF,2018-02-01,2018-02-28,2018-02-26,2018-04-05,2018-04-07
400,401,Digital Service,2018-03-19,2018-04-18,2018-04-26,2018-05-21,2018-06-01
401,402,LifeStyle,2018-04-03,2018-05-07,2018-05-07,2018-06-05,2018-06-12
402,403,BBFF,2018-04-12,2018-04-27,2018-06-13,2018-06-14,2018-06-20
403,404,BBFF,2018-04-26,2018-06-11,2018-06-14,2018-06-28,2018-07-15
404,405,BBFF,2018-04-27,2018-05-15,2018-05-31,2018-06-29,2018-06-29
405,406,BBFF,2018-04-27,2018-04-27,2018-06-26,2018-06-29,2018-06-29
406,407,Electronic,2018-05-23,2018-05-31,2018-07-18,2018-07-25,2018-07-25
407,408,LifeStyle,2018-06-07,2018-06-20,2018-06-08,2018-08-09,2018-08-19
408,409,LifeStyle,2018-06-13,2018-06-30,2018-07-12,2018-08-15,2018-08-17
409,410,Digital Service,2018-06-27,2018-08-01,2018-07-31,2018-08-29,2018-09-17
410,411,BBFF,2018-03-23,2018-03-28,2018-05-02,2018-05-24,2018-05-29
411,412,LifeStyle,2018-03-28,2018-03-28,2018-04-04,2018-05-29,2018-06-16
412,413,BBFF,2018-04-10,2018-04-27,2018-05-25,2018-06-11,2018-08-17
413,414,BBFF,2018-04-10,2018-04-26,2018-05-23,2018-06-11,2018-06-15
414,415,LifeStyle,2018-04-20,2018-04-24,2018-06-19,2018-06-21,2018-06-28
415,416,LifeStyle,2018-04-24,2018-04-27,2018-06-22,2018-06-25,2018-08-03
416,417,BBFF,2018-05-21,2018-06-08,2018-07-11,2018-07-22,2018-07-17
417,418,BBFF,2018-05-21,2018-06-01,2018-06-19,2018-07-22,2018-07-20
418,419,Electronic,2018-05-24,2018-07-23,2018-07-24,2018-07-25,2018-08-06
419,420,BBFF,2018-05-25,2018-06-06,2018-07-16,2018-07-26,2018-09-12
420,421,BBFF,2018-06-30,2018-07-20,2018-08-10,2018-08-31,2018-09-06
421,422,BBFF,2018-07-13,2018-08-03,2018-08-21,2018-09-13,2018-09-30
422,423,LifeStyle,2018-07-27,2018-07-28,2018-09-26,2018-09-27,2018-10-17
423,424,LifeStyle,2018-08-07,2018-08-23,2018-09-14,2018-10-08,2018-10-09
424,425,LifeStyle,2018-02-02,2018-03-02,2018-02-09,2018-04-04,2018-06-01
425,426,LifeStyle,2018-03-23,2018-03-29,2018-04-26,2018-05-23,2018-05-22
426,427,BBFF,2018-04-04,2018-05-14,2018-06-02,2018-06-04,2018-06-23
427,428,Digital Service,2018-04-05,2018-05-25,2018-06-04,2018-06-05,2018-07-26
428,429,LifeStyle,2018-04-27,2018-06-08,2018-05-02,2018-06-27,2018-06-28
429,430,Book,2018-05-28,2018-06-19,2018-06-20,2018-07-28,2018-07-29
430,431,LifeStyle,2018-05-28,2018-05-30,2018-07-17,2018-07-28,2018-07-29
431,432,Electronic,2018-05-29,2018-07-18,2018-06-20,2018-07-29,2018-08-14
432,433,BBFF,2018-08-10,2018-09-22,2018-10-09,2018-10-10,2018-10-18
433,434,BBFF,2018-02-01,2018-02-08,2018-03-12,2018-04-02,2018-04-12
434,435,BBFF,2018-02-05,2018-03-19,2018-03-26,2018-04-06,2018-04-09
435,436,Electronic,2018-03-24,2018-03-29,2018-05-21,2018-05-23,2018-06-01
436,437,Digital Service,2018-03-27,2018-04-18,2018-05-24,2018-05-26,2018-06-02
437,438,LifeStyle,2018-03-31,2018-04-12,2018-04-06,2018-05-30,2018-06-02
438,439,BBFF,2018-04-14,2018-04-17,2018-06-12,2018-06-13,2018-08-10
439,440,BBFF,2018-04-20,2018-06-08,2018-06-05,2018-06-19,2018-06-18
440,441,LifeStyle,2018-04-20,2018-04-24,2018-05-15,2018-06-19,2018-06-20
441,442,LifeStyle,2018-04-23,2018-06-12,2018-06-12,2018-06-22,2018-07-05
442,443,BBFF,2018-05-23,2018-06-30,2018-07-19,2018-07-22,2018-07-21
443,444,Book,2018-06-04,2018-07-05,2018-07-20,2018-08-03,2018-08-31
444,445,BBFF,2018-06-07,2018-07-30,2018-08-03,2018-08-06,2018-08-08
445,446,BBFF,2018-07-31,2018-08-06,2018-08-10,2018-09-29,2018-10-06
446,447,Electronic,2018-02-01,2018-02-13,2018-03-31,2018-04-01,2018-08-05
447,448,BBFF,2018-02-02,2018-03-11,2018-03-16,2018-04-02,2018-04-12
448,449,BBFF,2018-02-05,2018-03-02,2018-03-17,2018-04-05,2018-04-06
449,450,BBFF,2018-03-28,2018-03-29,2018-04-18,2018-05-26,2018-06-20
450,451,LifeStyle,2018-04-11,2018-04-27,2018-06-08,2018-06-09,2018-06-17
451,452,BBFF,2018-05-04,2018-06-27,2018-05-16,2018-07-02,2018-07-06
452,453,BBFF,2018-05-21,2018-06-22,2018-07-14,2018-07-19,2018-07-29
453,454,BBFF,2018-05-24,2018-05-31,2018-07-17,2018-07-22,2018-07-24
454,455,Book,2018-05-24,2018-05-30,2018-07-17,2018-07-22,2018-07-20
455,456,BBFF,2018-05-28,2018-06-22,2018-06-28,2018-07-26,2018-07-31
456,457,Digital Service,2018-06-04,2018-07-20,2018-07-31,2018-08-02,2018-08-29
457,458,BBFF,2018-06-12,2018-06-25,2018-07-16,2018-08-10,2018-08-17
458,459,BBFF,2018-06-16,2018-07-18,2018-07-17,2018-08-14,2018-08-14
459,460,BBFF,2018-07-09,2018-08-06,2018-08-21,2018-09-06,2018-09-08
460,461,BBFF,2018-07-09,2018-08-02,2018-08-24,2018-09-06,2018-09-10
461,462,LifeStyle,2018-07-13,2018-07-27,2018-09-10,2018-09-10,2018-09-21
462,463,Book,2018-07-16,2018-08-13,2018-08-31,2018-09-13,2018-09-14
463,464,BBFF,2018-08-06,2018-08-27,2018-09-17,2018-10-04,2018-10-12
464,465,Electronic,2018-01-18,2018-03-02,2018-03-16,2018-03-17,2018-03-21
465,466,Electronic,2018-02-07,2018-03-05,2018-03-29,2018-04-06,2018-04-10
466,467,LifeStyle,2018-03-11,2018-04-18,2018-04-20,2018-05-08,2018-08-06
467,468,LifeStyle,2018-04-09,2018-04-20,2018-04-10,2018-06-06,2018-06-20
468,469,BBFF,2018-05-25,2018-06-18,2018-07-19,2018-07-22,2018-07-21
469,470,BBFF,2018-05-25,2018-06-06,2018-07-12,2018-07-22,2018-07-25
470,471,BBFF,2018-05-29,2018-07-13,2018-07-25,2018-07-26,2018-08-07
471,472,BBFF,2018-03-11,2018-03-19,2018-04-27,2018-05-07,2018-05-12
472,473,Electronic,2018-03-26,2018-03-30,2018-04-11,2018-05-22,2018-05-23
473,474,BBFF,2018-03-29,2018-04-17,2018-05-07,2018-05-25,2018-06-05
474,475,LifeStyle,2018-04-13,2018-04-19,2018-05-21,2018-06-09,2018-06-10
475,476,BBFF,2018-04-13,2018-04-17,2018-04-17,2018-06-09,2018-06-08
476,477,Electronic,2018-04-21,2018-04-27,2018-06-16,2018-06-17,2018-07-21
477,478,BBFF,2018-05-07,2018-06-22,2018-05-28,2018-07-03,2018-07-04
478,479,Electronic,2018-05-18,2018-05-18,2018-05-25,2018-07-14,2018-07-30
479,480,BBFF,2018-05-23,2018-06-26,2018-07-03,2018-07-19,2018-07-31
480,481,BBFF,2018-06-12,2018-07-26,2018-08-01,2018-08-08,2018-08-04
481,482,LifeStyle,2018-06-20,2018-08-14,2018-07-20,2018-08-16,2018-10-02
482,483,LifeStyle,2018-06-28,2018-08-13,2018-07-05,2018-08-24,2018-08-24
483,484,BBFF,2018-07-09,2018-07-30,2018-08-31,2018-09-04,2018-09-05
484,485,BBFF,2018-07-31,2018-08-01,2018-08-14,2018-09-26,2018-09-28
485,486,BBFF,2018-01-29,2018-03-02,2018-02-05,2018-03-26,2018-03-30
486,487,Electronic,2018-04-04,2018-04-12,2018-05-29,2018-05-30,2018-08-24
487,488,BBFF,2018-05-30,2018-07-18,2018-07-02,2018-07-25,2018-07-28
488,489,LifeStyle,2018-06-26,2018-07-12,2018-08-15,2018-08-21,2018-08-23
489,490,BBFF,2018-07-13,2018-08-25,2018-08-31,2018-09-07,2018-09-11
490,491,BBFF,2018-07-18,2018-07-25,2018-09-11,2018-09-12,2018-09-12
491,492,Electronic,2018-07-18,2018-07-23,2018-09-10,2018-09-12,2018-09-17
492,493,BBFF,2018-07-20,2018-07-24,2018-09-12,2018-09-14,2018-09-16
493,494,LifeStyle,2018-02-01,2018-02-13,2018-03-27,2018-03-28,2018-10-04
494,495,BBFF,2018-04-12,2018-05-08,2018-05-31,2018-06-06,2018-06-20
495,496,LifeStyle,2018-04-20,2018-05-07,2018-06-01,2018-06-14,2018-07-29
496,497,BBFF,2018-05-18,2018-06-29,2018-07-10,2018-07-12,2018-07-14
497,498,BBFF,2018-05-31,2018-06-05,2018-06-09,2018-07-25,2018-07-24
498,499,LifeStyle,2018-06-04,2018-07-19,2018-07-20,2018-07-29,2018-07-29
499,500,LifeStyle,2018-06-08,2018-07-26,2018-06-15,2018-08-02,2018-08-27
500,501,BBFF,2018-06-15,2018-07-27,2018-07-27,2018-08-09,2018-08-08
501,502,BBFF,2018-06-22,2018-07-25,2018-08-15,2018-08-16,2018-08-18
502,503,BBFF,2018-06-29,2018-07-16,2018-08-22,2018-08-23,2018-08-24
503,504,BBFF,2018-07-09,2018-07-25,2018-08-15,2018-09-02,2018-09-06
504,505,LifeStyle,2018-08-07,2018-08-31,2018-09-24,2018-10-01,2018-10-07
505,506,BBFF,2018-01-25,2018-02-02,2018-02-05,2018-03-20,2018-03-21
506,507,BBFF,2018-03-23,2018-03-30,2018-04-10,2018-05-16,2018-05-16
507,508,Electronic,2018-04-06,2018-04-18,2018-05-31,2018-05-30,2018-06-09
508,509,LifeStyle,2018-04-16,2018-05-29,2018-06-08,2018-06-09,2018-06-21
509,510,LifeStyle,2018-04-27,2018-06-14,2018-06-19,2018-06-20,2018-07-18
510,511,BBFF,2018-05-17,2018-06-11,2018-07-05,2018-07-10,2018-07-20
511,512,BBFF,2018-08-22,2018-08-30,2018-08-23,2018-10-15,2018-10-16
512,513,Electronic,2018-01-30,2018-02-09,2018-03-23,2018-03-24,2018-05-21
513,514,LifeStyle,2018-02-26,2018-03-06,2018-03-28,2018-04-20,2018-05-08
514,515,BBFF,2018-03-23,2018-03-28,2018-05-10,2018-05-15,2018-05-27
515,516,Digital Service,2018-03-31,2018-04-13,2018-05-22,2018-05-23,2018-06-01
516,517,LifeStyle,2018-04-17,2018-04-19,2018-04-19,2018-06-09,2018-06-20
517,518,LifeStyle,2018-04-21,2018-05-09,2018-04-27,2018-06-13,2018-06-16
518,519,BBFF,2018-06-19,2018-08-13,2018-08-10,2018-08-11,2018-08-15
519,520,LifeStyle,2018-03-15,2018-04-02,2018-04-26,2018-05-06,2018-05-06
520,521,Electronic,2018-03-24,2018-03-30,2018-05-09,2018-05-15,2018-06-05
521,522,BBFF,2018-03-31,2018-04-27,2018-05-17,2018-05-22,2018-06-03
522,523,BBFF,2018-05-02,2018-05-14,2018-06-09,2018-06-23,2018-07-20
523,524,BBFF,2018-05-08,2018-05-09,2018-06-28,2018-06-29,2018-07-07
524,525,LifeStyle,2018-05-29,2018-05-31,2018-06-15,2018-07-20,2018-07-21
525,526,BBFF,2018-06-06,2018-06-27,2018-07-24,2018-07-28,2018-08-07
526,527,BBFF,2018-06-08,2018-06-22,2018-07-26,2018-07-30,2018-08-09
527,528,BBFF,2018-06-28,2018-08-03,2018-08-09,2018-08-19,2018-08-21
528,529,BBFF,2018-06-28,2018-07-05,2018-08-17,2018-08-19,2018-09-04
529,530,LifeStyle,2018-06-29,2018-08-14,2018-08-15,2018-08-20,2018-08-30
530,531,BBFF,2018-07-10,2018-08-22,2018-08-23,2018-08-31,2018-09-01
531,532,BBFF,2018-07-21,2018-07-24,2018-08-01,2018-09-11,2018-09-11
532,533,BBFF,2018-07-31,2018-08-09,2018-08-16,2018-09-21,2018-10-04
533,534,Digital Service,2018-01-14,2018-03-05,2018-02-28,2018-03-06,2018-03-15
534,535,BBFF,2018-01-23,2018-03-02,2018-02-08,2018-03-15,2018-05-09
535,536,Digital Service,2018-04-04,2018-05-22,2018-04-17,2018-05-25,2018-06-01
536,537,BBFF,2018-04-23,2018-05-02,2018-05-28,2018-06-13,2018-06-13
537,538,BBFF,2018-05-09,2018-06-20,2018-06-22,2018-06-29,2018-07-06
538,539,Digital Service,2018-05-16,2018-06-25,2018-06-29,2018-07-06,2018-09-08
539,540,Electronic,2018-05-16,2018-05-23,2018-07-05,2018-07-06,2018-07-05
540,541,Electronic,2018-06-05,2018-06-22,2018-06-29,2018-07-26,2018-08-07
541,542,BBFF,2018-07-09,2018-08-01,2018-08-27,2018-08-29,2018-08-29
542,543,LifeStyle,2018-07-17,2018-08-08,2018-08-13,2018-09-06,2018-09-12
543,544,BBFF,2018-07-30,2018-08-09,2018-08-16,2018-09-19,2018-10-07
544,545,LifeStyle,2018-08-07,2018-09-14,2018-09-05,2018-09-27,2018-09-28
545,546,BBFF,2018-08-21,2018-08-22,2018-10-11,2018-10-11,2018-10-12
546,547,LifeStyle,2018-01-10,2018-02-13,2018-02-01,2018-03-01,2018-03-22
547,548,Electronic,2018-02-09,2018-03-07,2018-03-29,2018-03-31,2018-04-11
548,549,BBFF,2018-03-06,2018-03-27,2018-04-21,2018-04-25,2018-04-26
549,550,Book,2018-03-19,2018-04-18,2018-04-25,2018-05-08,2018-05-14
550,551,LifeStyle,2018-03-24,2018-04-05,2018-05-09,2018-05-13,2018-06-27
551,552,Digital Service,2018-03-27,2018-05-02,2018-05-10,2018-05-16,2018-08-09
552,553,BBFF,2018-03-27,2018-03-28,2018-04-17,2018-05-16,2018-05-17
553,554,BBFF,2018-03-28,2018-04-02,2018-04-24,2018-05-17,2018-05-23
554,555,LifeStyle,2018-04-03,2018-04-20,2018-04-03,2018-05-23,2018-06-27
555,556,Digital Service,2018-04-03,2018-04-12,2018-05-18,2018-05-23,2018-06-03
556,557,BBFF,2018-04-05,2018-04-17,2018-05-22,2018-05-25,2018-05-31
557,558,BBFF,2018-04-09,2018-04-27,2018-05-28,2018-05-29,2018-05-29
558,559,Electronic,2018-04-16,2018-04-27,2018-05-29,2018-06-05,2018-06-12
559,560,BBFF,2018-05-07,2018-05-11,2018-06-20,2018-06-26,2018-06-26
560,561,Digital Service,2018-05-14,2018-06-29,2018-06-04,2018-07-03,2018-08-16
561,562,LifeStyle,2018-05-16,2018-05-30,2018-07-03,2018-07-05,2018-07-13
562,563,BBFF,2018-06-20,2018-06-27,2018-06-29,2018-08-09,2018-08-14
563,564,LifeStyle,2018-06-25,2018-07-12,2018-08-13,2018-08-14,2018-08-16
564,565,BBFF,2018-07-20,2018-08-31,2018-09-07,2018-09-08,2018-09-26
565,566,LifeStyle,2018-08-15,2018-08-21,2018-09-24,2018-10-04,2018-10-01
566,567,BBFF,2018-08-21,2018-09-28,2018-09-10,2018-10-10,2018-10-11
567,568,LifeStyle,2018-08-22,2018-09-07,2018-09-19,2018-10-11,2018-10-12
568,569,BBFF,2018-02-01,2018-03-19,2018-02-13,2018-03-22,2018-06-16
569,570,BBFF,2018-03-23,2018-03-29,2018-04-13,2018-05-11,2018-05-14
570,571,LifeStyle,2018-03-23,2018-03-29,2018-04-23,2018-05-11,2018-05-15
571,572,BBFF,2018-03-24,2018-03-28,2018-04-17,2018-05-12,2018-05-14
572,573,BBFF,2018-04-17,2018-04-27,2018-06-04,2018-06-05,2018-07-01
573,574,BBFF,2018-05-08,2018-05-22,2018-06-18,2018-06-26,2018-06-27
574,575,LifeStyle,2018-05-16,2018-06-19,2018-06-22,2018-07-04,2018-07-12
575,576,BBFF,2018-05-16,2018-05-31,2018-06-27,2018-07-04,2018-07-17
576,577,BBFF,2018-05-24,2018-06-04,2018-06-30,2018-07-12,2018-07-20
577,578,LifeStyle,2018-06-14,2018-07-20,2018-07-25,2018-08-02,2018-08-11
578,579,BBFF,2018-06-14,2018-06-30,2018-07-12,2018-08-02,2018-08-05
579,580,BBFF,2018-06-14,2018-06-29,2018-07-12,2018-08-02,2018-08-08
580,581,BBFF,2018-06-19,2018-08-21,2018-08-06,2018-08-07,2018-08-30
581,582,LifeStyle,2018-06-20,2018-06-30,2018-07-26,2018-08-08,2018-10-05
582,583,LifeStyle,2018-07-27,2018-07-28,2018-09-11,2018-09-14,2018-09-20
583,584,BBFF,2018-07-30,2018-08-15,2018-08-15,2018-09-17,2018-09-22
584,585,BBFF,2018-08-09,2018-08-27,2018-09-06,2018-09-27,2018-10-01
585,586,BBFF,2018-08-14,2018-08-16,2018-08-15,2018-10-02,2018-10-03
586,587,BBFF,2018-08-16,2018-08-30,2018-10-04,2018-10-04,2018-10-12
587,588,BBFF,2018-01-30,2018-02-08,2018-03-06,2018-03-19,2018-03-16
588,589,Electronic,2018-01-30,2018-02-07,2018-02-07,2018-03-19,2018-03-18
589,590,Electronic,2018-03-09,2018-03-26,2018-04-24,2018-04-26,2018-04-27
590,591,BBFF,2018-03-24,2018-04-05,2018-03-29,2018-05-11,2018-05-21
591,592,LifeStyle,2018-04-05,2018-05-10,2018-04-13,2018-05-23,2018-05-28
592,593,LifeStyle,2018-04-05,2018-05-02,2018-04-09,2018-05-23,2018-05-31
593,594,LifeStyle,2018-04-11,2018-04-16,2018-05-25,2018-05-29,2018-06-08
594,595,BBFF,2018-04-22,2018-05-08,2018-06-05,2018-06-09,2018-06-08
595,596,BBFF,2018-05-08,2018-06-07,2018-06-19,2018-06-25,2018-06-28
596,597,BBFF,2018-05-08,2018-05-24,2018-06-15,2018-06-25,2018-06-28
597,598,BBFF,2018-05-10,2018-06-19,2018-06-25,2018-06-27,2018-07-03
598,599,Book,2018-05-24,2018-06-28,2018-06-29,2018-07-11,2018-07-20
599,600,BBFF,2018-05-31,2018-06-07,2018-07-06,2018-07-18,2018-07-20
600,601,BBFF,2018-06-04,2018-06-12,2018-07-11,2018-07-22,2018-07-26
601,602,LifeStyle,2018-06-11,2018-06-28,2018-07-12,2018-07-29,2018-08-07
602,603,BBFF,2018-06-14,2018-06-29,2018-07-21,2018-08-01,2018-08-01
603,604,BBFF,2018-06-19,2018-06-28,2018-07-04,2018-08-06,2018-08-07
604,605,LifeStyle,2018-06-21,2018-07-13,2018-07-09,2018-08-08,2018-08-09
605,606,BBFF,2018-07-05,2018-07-24,2018-08-17,2018-08-22,2018-09-09
606,607,Book,2018-07-11,2018-08-16,2018-07-12,2018-08-28,2018-09-03
607,608,BBFF,2018-02-02,2018-03-01,2018-02-13,2018-03-21,2018-03-27
608,609,LifeStyle,2018-03-30,2018-05-10,2018-05-12,2018-05-16,2018-05-22
609,610,BBFF,2018-03-30,2018-04-12,2018-04-11,2018-05-16,2018-05-30
610,611,BBFF,2018-04-13,2018-04-27,2018-05-03,2018-05-30,2018-06-12
611,612,LifeStyle,2018-04-18,2018-05-23,2018-05-31,2018-06-04,2018-07-20
612,613,BBFF,2018-05-19,2018-06-14,2018-07-02,2018-07-05,2018-07-07
613,614,LifeStyle,2018-05-21,2018-06-18,2018-07-06,2018-07-07,2018-07-11
614,615,LifeStyle,2018-05-21,2018-05-25,2018-07-06,2018-07-07,2018-07-24
615,616,BBFF,2018-05-23,2018-05-24,2018-06-28,2018-07-09,2018-07-17
616,617,Electronic,2018-05-24,2018-06-25,2018-06-26,2018-07-10,2018-08-01
617,618,BBFF,2018-06-17,2018-07-25,2018-06-20,2018-08-03,2018-08-05
618,619,Electronic,2018-06-21,2018-06-29,2018-08-03,2018-08-07,2018-08-08
619,620,Digital Service,2018-07-06,2018-08-08,2018-08-18,2018-08-22,2018-08-22
620,621,BBFF,2018-07-26,2018-07-27,2018-08-02,2018-09-11,2018-09-11
621,622,Electronic,2018-08-02,2018-08-07,2018-08-10,2018-09-18,2018-09-20
622,623,BBFF,2018-08-13,2018-08-21,2018-09-04,2018-09-29,2018-09-28
623,624,Electronic,2018-08-18,2018-09-18,2018-09-10,2018-10-04,2018-10-06
624,625,BBFF,2018-01-24,2018-02-28,2018-02-02,2018-03-11,2018-03-16
625,626,BBFF,2018-02-01,2018-03-13,2018-02-05,2018-03-19,2018-03-17
